agent_id,seq_no,node_id,timestamp,timestamp_in_min,trip_time_in_min,travel_time_in_sec,waiting_time_in_simu_interval,x_coord,y_coord
155,1,1,T0725:47.000,445.78333,0.000000,965.0006,260,0.000000,-0.100000
155,2,4,T0741:52.000,461.86667,16.083344,900.0000,0,19.700000,-9.700000
156,1,1,T0725:54.000,445.89999,0.000000,966.0004,264,0.000000,-0.100000
156,2,4,T0742:00.000,462.00000,16.100006,900.0000,0,19.700000,-9.700000
157,1,1,T0726:04.000,446.06668,0.000000,963.9990,255,0.000000,-0.100000
157,2,4,T0742:08.000,462.13333,16.066650,900.0000,0,19.700000,-9.700000
158,1,1,T0726:11.500,446.19168,0.000000,964.4989,257,0.000000,-0.100000
158,2,4,T0742:16.000,462.26666,16.074982,900.0000,0,19.700000,-9.700000
159,1,1,T0726:17.750,446.29584,0.000000,966.2494,264,0.000000,-0.100000
159,2,4,T0742:24.000,462.39999,16.104156,900.0000,0,19.700000,-9.700000
160,1,1,T0726:29.000,446.48334,0.000000,962.9993,251,0.000000,-0.100000
