stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
BDH,BDHMNRD,Bedhampton,9,50.85396,-0.99583,,,,,Europe/London,0
BDI,BRADIN,Bradford Interchange,2,53.79108,-1.7496,,,,,Europe/London,0
BDK,BALDOCK,Baldock,0,51.99287,-0.18756,,,,,Europe/London,0
BDL,BKDLE,Birkdale,0,53.63405,-3.01445,,,,,Europe/London,0
BDM,BEDFDM,Bedford,2,52.13619,-0.47944,,,,,Europe/London,0
BDN,BRDING,Brading,0,50.67837,-1.13872,,,,,Europe/London,0
BDQ,BRADFS,Bradford Forster Square,2,53.79692,-1.75296,,,,,Europe/London,0
BDS,BONDST,BOND STREET CROSSRAIL,3,0,0,,,,,Europe/London,0
BDT,BRDLNGT,Bridlington,1,54.08413,-0.19872,,,,,Europe/London,0
BDW,BEDYN,Bedwyn,1,51.37964,-1.59879,,,,,Europe/London,0
BDY,BREDBRY,Bredbury,0,53.42315,-2.11049,,,,,Europe/London,0
BEA,BGOALAN,Bridge of Allan,0,56.15664,-3.95723,,,,,Europe/London,0
BEB,BEBNGTN,Bebington,0,53.35765,-3.00363,,,,,Europe/London,0
BEC,BCKNHMH,Beckenham Hill,0,51.42458,-0.01595,,,,,Europe/London,0
BEE,BESTON,Beeston,1,52.92075,-1.20766,,,,,Europe/London,0
BEF,BENFLET,Benfleet,0,51.54395,0.56171,,,,,Europe/London,0
BEG,BLTRNAB,Beltring,0,51.20471,0.4035,,,,,Europe/London,0
BEH,BEDWRTH,Bedworth,0,52.4793,-1.46739,,,,,Europe/London,0
BEL,BEAULY,Beauly,0,57.47828,-4.46987,,,,,Europe/London,0
BEM,BEMPTON,Bempton,0,54.12766,-0.18046,,,,,Europe/London,0
BEN,BNTHAM,Bentham,1,54.11552,-2.51068,,,,,Europe/London,0
BEP,BERMPRK,Bermuda Park,0,52.50143,-1.47218,,,,,Europe/London,0
BER,BEARLEY,Bearley,0,52.24441,-1.75026,,,,,Europe/London,0
BES,BESCRLA,Bescar Lane,0,53.62385,-2.91461,,,,,Europe/London,0
BET,BTHNLGR,Bethnal Green,0,51.52392,-0.05957,,,,,Europe/London,0
BEU,BLIEURD,Beaulieu Road,0,50.85505,-1.50475,,,,,Europe/London,0
BEV,BEVERLY,Beverley,0,53.84227,-0.42298,,,,,Europe/London,0
